,business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_description,Neighborhoods (old),Police Districts,Supervisor Districts,Zip Codes,Analysis Neighborhoods,year,month,day
19525,1542,94103.0,37.766293,-122.407671,86.0,103154.0,1.0,19.0,4.0,8.0,28853.0,20.0,2019,10,1
19542,2017,94115.0,37.788146999999995,-122.433637,84.0,103154.0,1.0,27.0,9.0,1.0,29490.0,30.0,2019,1,4
19543,2325,94117.0,37.769428000000005,-122.451604,72.0,103144.0,2.0,9.0,5.0,11.0,29492.0,3.0,2018,6,15
19546,3630,94117.0,37.772096999999995,-122.43081399999998,92.0,103131.0,1.0,10.0,9.0,11.0,29492.0,9.0,2019,9,17
19549,4797,94110.0,37.739053000000006,-122.416683,92.0,103142.0,1.0,2.0,7.0,7.0,28859.0,2.0,2019,2,7
19583,59577,94103.0,37.784848,-122.406892,81.0,103156.0,2.0,34.0,2.0,9.0,28853.0,34.0,2019,9,30
19587,3920,94103.0,37.765708000000004,-122.409002,94.0,103153.0,3.0,19.0,4.0,8.0,28853.0,20.0,2019,1,2
19595,34434,94105.0,37.785654,-122.39972900000001,85.0,103142.0,1.0,6.0,2.0,9.0,28855.0,8.0,2018,1,9
19618,4917,94110.0,37.752373,-122.410876,69.0,103102.0,1.0,19.0,4.0,7.0,28859.0,20.0,2018,6,5
19620,61602,94105.0,37.786474,-122.40178799999998,85.0,103144.0,2.0,6.0,2.0,9.0,28855.0,8.0,2018,1,5
19621,34839,94102.0,37.782672,-122.419026,79.0,103114.0,1.0,36.0,9.0,9.0,28852.0,36.0,2017,1,9
19622,68026,94108.0,37.789763,-122.41178700000002,85.0,103154.0,1.0,21.0,1.0,10.0,28857.0,21.0,2019,8,22
19623,1542,94103.0,37.766293,-122.407671,86.0,103124.0,1.0,19.0,4.0,8.0,28853.0,20.0,2019,10,1
19628,2716,94118.0,37.782888,-122.466101,94.0,103161.0,1.0,11.0,6.0,2.0,54.0,11.0,2019,9,30
19633,4803,94134.0,37.730527,-122.40486100000001,82.0,103120.0,3.0,28.0,3.0,7.0,309.0,25.0,2017,7,26
19643,1018,94110.0,37.758684,-122.418975,83.0,103103.0,3.0,19.0,4.0,7.0,28859.0,20.0,2017,7,18
19644,4480,94114.0,37.751413,-122.431629,96.0,103156.0,2.0,22.0,4.0,5.0,28862.0,22.0,2019,7,1
19648,36570,94134.0,37.712165999999996,-122.402934,86.0,103154.0,1.0,39.0,7.0,8.0,309.0,40.0,2017,11,2
19661,33467,94103.0,37.78678,-122.40253500000001,94.0,103120.0,3.0,6.0,2.0,9.0,28853.0,8.0,2018,1,3
19678,4986,94116.0,37.742728,-122.475714,88.0,103120.0,3.0,35.0,8.0,3.0,29491.0,35.0,2017,5,22
19688,34839,94102.0,37.782672,-122.419026,79.0,103134.0,1.0,36.0,9.0,9.0,28852.0,36.0,2017,1,9
19690,3920,94103.0,37.765708000000004,-122.409002,94.0,103156.0,2.0,19.0,4.0,8.0,28853.0,20.0,2019,1,2
19691,18800,94103.0,37.778546999999996,-122.41013000000001,92.0,103132.0,3.0,34.0,2.0,9.0,28853.0,34.0,2017,12,13
19692,9652,94105.0,37.789563,-122.394821,85.0,103150.0,4.0,6.0,2.0,9.0,28855.0,8.0,2019,6,6
19701,7216,94112.0,37.724489,-122.43502600000001,73.0,103124.0,1.0,25.0,7.0,6.0,28861.0,28.0,2019,4,16
19704,4986,94116.0,37.742728,-122.475714,88.0,103121.0,3.0,35.0,8.0,3.0,29491.0,35.0,2017,5,22
19712,10540,94111.0,37.795225,-122.39376999999999,72.0,103120.0,3.0,6.0,2.0,10.0,28860.0,8.0,2017,6,5
19713,2535,94115.0,37.789787,-122.434067,96.0,103131.0,1.0,27.0,9.0,1.0,29490.0,30.0,2017,5,5
19720,2716,94118.0,37.782888,-122.466101,94.0,103142.0,1.0,11.0,6.0,2.0,54.0,11.0,2019,9,30
19722,68026,94108.0,37.789763,-122.41178700000002,85.0,103132.0,3.0,21.0,1.0,10.0,28857.0,21.0,2019,8,22
19729,36022,94124.0,37.743419,-122.383536,73.0,103108.0,1.0,1.0,3.0,8.0,58.0,1.0,2017,2,23
19733,2233,94108.0,37.795564,-122.40808999999999,81.0,103145.0,3.0,4.0,1.0,10.0,28857.0,6.0,2019,7,8
19737,2347,94110.0,37.759567,-122.41918500000001,87.0,103145.0,3.0,19.0,4.0,7.0,28859.0,20.0,2019,9,19
19738,34839,94102.0,37.782672,-122.419026,79.0,103150.0,4.0,36.0,9.0,9.0,28852.0,36.0,2017,1,9
19742,66705,94118.0,37.781208,-122.462432,71.0,103103.0,3.0,11.0,6.0,2.0,54.0,11.0,2019,9,11
19748,69606,94112.0,37.715905,-122.441373,77.0,103124.0,1.0,5.0,7.0,6.0,28861.0,7.0,2019,9,30
19749,36022,94124.0,37.743419,-122.383536,73.0,103114.0,1.0,1.0,3.0,8.0,58.0,1.0,2017,2,23
19757,4803,94134.0,37.730527,-122.40486100000001,82.0,103138.0,3.0,28.0,3.0,7.0,309.0,25.0,2017,7,26
19758,9208,94132.0,37.726895,-122.47586100000001,84.0,103103.0,3.0,14.0,8.0,4.0,64.0,16.0,2017,10,17
19759,36022,94124.0,37.743419,-122.383536,73.0,103154.0,1.0,1.0,3.0,8.0,58.0,1.0,2017,2,23
19765,2369,94110.0,37.750374,-122.420456,90.0,103154.0,1.0,19.0,4.0,7.0,28859.0,20.0,2019,3,25
19768,36571,94121.0,37.781558000000004,-122.493393,85.0,103102.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,9,20
19769,68036,94108.0,37.789763,-122.41178700000002,92.0,103144.0,2.0,21.0,1.0,10.0,28857.0,21.0,2019,9,30
19776,10540,94111.0,37.795225,-122.39376999999999,72.0,103102.0,1.0,6.0,2.0,10.0,28860.0,8.0,2017,6,5
19777,68026,94108.0,37.789763,-122.41178700000002,92.0,103154.0,1.0,21.0,1.0,10.0,28857.0,21.0,2019,2,1
19778,4797,94110.0,37.739053000000006,-122.416683,92.0,103149.0,1.0,2.0,7.0,7.0,28859.0,2.0,2019,2,7
19781,164,94104.0,37.789064,-122.40286100000002,96.0,103124.0,1.0,6.0,1.0,10.0,28854.0,8.0,2018,8,31
19786,59577,94103.0,37.784848,-122.406892,81.0,103150.0,4.0,34.0,2.0,9.0,28853.0,34.0,2019,9,30
19788,59577,94103.0,37.784848,-122.406892,81.0,103103.0,3.0,34.0,2.0,9.0,28853.0,34.0,2019,9,30
19813,2325,94117.0,37.769428000000005,-122.451604,72.0,103103.0,3.0,9.0,5.0,11.0,29492.0,3.0,2018,6,15
19815,2384,94117.0,37.772273999999996,-122.428997,91.0,103114.0,1.0,10.0,9.0,11.0,29492.0,9.0,2019,5,7
19818,4917,94110.0,37.752373,-122.410876,69.0,103124.0,1.0,19.0,4.0,7.0,28859.0,20.0,2018,6,5
19821,2945,94133.0,37.797868,-122.40719399999999,80.0,103157.0,2.0,4.0,1.0,10.0,308.0,6.0,2016,10,12
19836,3677,94127.0,37.744876,-122.452425,90.0,103120.0,3.0,40.0,7.0,4.0,59.0,41.0,2019,9,18
19840,4917,94110.0,37.752373,-122.410876,69.0,103131.0,1.0,19.0,4.0,7.0,28859.0,20.0,2018,6,5
19850,1880,94117.0,37.735568,-122.5027,90.0,103131.0,1.0,35.0,8.0,3.0,29491.0,35.0,2019,9,19
19857,1710,94108.0,37.787936,-122.40671200000001,90.0,103141.0,3.0,6.0,1.0,10.0,28852.0,8.0,2017,2,21
19858,69606,94112.0,37.715905,-122.441373,77.0,103119.0,4.0,5.0,7.0,6.0,28861.0,7.0,2019,9,30
19861,2233,94108.0,37.795564,-122.40808999999999,81.0,103124.0,1.0,4.0,1.0,10.0,28857.0,6.0,2019,7,8
19896,4555,94123.0,37.799934,-122.442977,94.0,103154.0,1.0,17.0,9.0,1.0,57.0,13.0,2017,11,28
19898,2233,94108.0,37.795564,-122.40808999999999,81.0,103154.0,1.0,4.0,1.0,10.0,28857.0,6.0,2019,7,8
19905,7558,94118.0,37.782724,-122.46826000000001,92.0,103145.0,3.0,11.0,6.0,2.0,54.0,11.0,2019,10,1
19916,3614,94103.0,37.765028,-122.420402,87.0,103120.0,3.0,19.0,4.0,7.0,28853.0,20.0,2018,10,11
19922,1710,94108.0,37.787936,-122.40671200000001,90.0,103119.0,4.0,6.0,1.0,10.0,28852.0,8.0,2017,2,21
19923,36570,94134.0,37.712165999999996,-122.402934,86.0,103124.0,1.0,39.0,7.0,8.0,309.0,40.0,2017,11,2
19929,65238,94110.0,37.758204,-122.418976,83.0,103120.0,3.0,19.0,4.0,7.0,28859.0,20.0,2019,6,6
19935,1018,94110.0,37.758684,-122.418975,83.0,103119.0,4.0,19.0,4.0,7.0,28859.0,20.0,2017,7,18
19941,32925,94110.0,37.752072999999996,-122.42093899999999,87.0,103114.0,1.0,19.0,4.0,5.0,28859.0,20.0,2019,8,21
19943,2945,94133.0,37.797868,-122.40719399999999,80.0,103119.0,4.0,4.0,1.0,10.0,308.0,6.0,2016,10,12
19944,36022,94124.0,37.743419,-122.383536,73.0,103102.0,1.0,1.0,3.0,8.0,58.0,1.0,2017,2,23
19947,60561,94102.0,37.786795,-122.41326399999998,90.0,103154.0,1.0,36.0,1.0,10.0,28852.0,36.0,2019,5,7
19949,4718,94115.0,37.792455,-122.434474,83.0,103131.0,1.0,27.0,9.0,1.0,29490.0,30.0,2019,9,30
19951,2369,94110.0,37.750374,-122.420456,90.0,103147.0,4.0,19.0,4.0,7.0,28859.0,20.0,2019,3,25
19960,59577,94103.0,37.784848,-122.406892,81.0,103154.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,9,30
19967,1542,94103.0,37.766293,-122.407671,86.0,103142.0,1.0,19.0,4.0,8.0,28853.0,20.0,2019,10,1
19969,2716,94118.0,37.782888,-122.466101,94.0,103147.0,4.0,11.0,6.0,2.0,54.0,11.0,2019,9,30
19970,61602,94105.0,37.786474,-122.40178799999998,85.0,103119.0,4.0,6.0,2.0,9.0,28855.0,8.0,2018,1,5
19973,61438,94115.0,37.7773,-122.441709,85.0,103154.0,1.0,16.0,5.0,11.0,29492.0,18.0,2019,4,25
19979,4797,94110.0,37.739053000000006,-122.416683,92.0,103125.0,3.0,2.0,7.0,7.0,28859.0,2.0,2019,2,7
19981,2945,94133.0,37.797868,-122.40719399999999,80.0,103133.0,1.0,4.0,1.0,10.0,308.0,6.0,2016,10,12
19982,60561,94102.0,37.786795,-122.41326399999998,90.0,103139.0,3.0,36.0,1.0,10.0,28852.0,36.0,2019,5,7
19983,9652,94105.0,37.789563,-122.394821,85.0,103144.0,2.0,6.0,2.0,9.0,28855.0,8.0,2019,6,6
19990,68026,94108.0,37.789763,-122.41178700000002,92.0,103124.0,1.0,21.0,1.0,10.0,28857.0,21.0,2019,2,1
19994,1710,94108.0,37.787936,-122.40671200000001,90.0,103124.0,1.0,6.0,1.0,10.0,28852.0,8.0,2017,2,21
19995,7216,94112.0,37.724489,-122.43502600000001,73.0,103120.0,3.0,25.0,7.0,6.0,28861.0,28.0,2019,4,16
20016,68331,94123.0,37.800508,-122.438824,88.0,103144.0,2.0,17.0,9.0,1.0,57.0,13.0,2017,11,3
20017,34839,94102.0,37.782672,-122.419026,79.0,103119.0,4.0,36.0,9.0,9.0,28852.0,36.0,2017,1,9
20019,12970,94110.0,37.750134,-122.41393500000001,96.0,103131.0,1.0,19.0,4.0,7.0,28859.0,20.0,2019,9,25
20020,2369,94110.0,37.750374,-122.420456,90.0,103157.0,2.0,19.0,4.0,7.0,28859.0,20.0,2019,3,25
20022,2017,94115.0,37.788146999999995,-122.433637,84.0,103153.0,3.0,27.0,9.0,1.0,29490.0,30.0,2019,1,4
20025,66705,94118.0,37.781208,-122.462432,71.0,103109.0,1.0,11.0,6.0,2.0,54.0,11.0,2019,9,11
20027,2017,94115.0,37.788146999999995,-122.433637,84.0,103139.0,3.0,27.0,9.0,1.0,29490.0,30.0,2019,1,4
20028,65238,94110.0,37.758204,-122.418976,83.0,103142.0,1.0,19.0,4.0,7.0,28859.0,20.0,2019,6,6
20031,59577,94103.0,37.784848,-122.406892,81.0,103144.0,2.0,34.0,2.0,9.0,28853.0,34.0,2019,9,30
20032,66685,94110.0,37.760974,-122.421456,85.0,103119.0,4.0,19.0,4.0,7.0,28859.0,20.0,2019,4,1
20043,38073,94116.0,37.735568,-122.50293,92.0,103149.0,1.0,35.0,8.0,3.0,29491.0,35.0,2018,9,24
20056,33467,94103.0,37.78678,-122.40253500000001,94.0,103142.0,1.0,6.0,2.0,9.0,28853.0,8.0,2018,1,3
20057,2017,94115.0,37.788146999999995,-122.433637,84.0,103149.0,1.0,27.0,9.0,1.0,29490.0,30.0,2019,1,4
20058,2945,94133.0,37.797868,-122.40719399999999,80.0,103139.0,3.0,4.0,1.0,10.0,308.0,6.0,2016,10,12
20625,66384,94118.0,37.782893,-122.46494799999999,83.0,103139.0,3.0,11.0,6.0,2.0,54.0,11.0,2017,8,28
20846,1927,94117.0,37.775793,-122.44622700000001,96.0,103124.0,1.0,16.0,5.0,11.0,29492.0,18.0,2017,11,14
21583,475,94133.0,37.799501,-122.40908400000001,90.0,103131.0,1.0,4.0,1.0,10.0,308.0,6.0,2016,11,2
21625,61959,94133.0,37.808494,-122.412,96.0,103156.0,2.0,23.0,1.0,10.0,308.0,23.0,2017,1,9
21702,67911,94111.0,37.795225,-122.39376999999999,94.0,103143.0,4.0,6.0,2.0,10.0,28860.0,8.0,2017,2,3
21703,1800,94112.0,37.716583,-122.44083400000001,86.0,103142.0,1.0,5.0,7.0,6.0,28861.0,7.0,2019,5,16
21704,3221,94122.0,37.764108,-122.46551200000002,85.0,103161.0,1.0,12.0,8.0,11.0,56.0,14.0,2017,6,27
21705,544,94118.0,37.782534000000005,-122.46661499999999,72.0,103120.0,3.0,11.0,6.0,2.0,54.0,11.0,2018,9,25
21706,37344,94102.0,37.780597,-122.41646399999999,71.0,103156.0,2.0,36.0,10.0,9.0,28852.0,36.0,2018,5,24
21708,34411,94105.0,37.787808,-122.390703,90.0,103144.0,2.0,6.0,2.0,9.0,28855.0,8.0,2018,8,20
21709,892,94104.0,37.791348,-122.39983400000001,87.0,103143.0,4.0,6.0,1.0,10.0,28854.0,8.0,2017,8,15
21711,62701,94111.0,37.793907,-122.402304,78.0,103144.0,2.0,4.0,1.0,10.0,28860.0,6.0,2016,12,22
21712,61959,94133.0,37.808494,-122.412,94.0,103154.0,1.0,23.0,1.0,10.0,308.0,23.0,2018,7,13
21713,11860,94102.0,37.787098,-122.41059399999999,96.0,103142.0,1.0,36.0,1.0,10.0,28852.0,36.0,2017,10,23
21715,36685,94110.0,37.751868,-122.42066499999999,90.0,103131.0,1.0,19.0,4.0,5.0,28859.0,20.0,2017,10,12
21716,1784,94123.0,37.797855,-122.429064,90.0,103161.0,1.0,17.0,9.0,1.0,57.0,13.0,2017,11,7
21717,27964,94103.0,37.766408,-122.422055,91.0,103161.0,1.0,19.0,4.0,5.0,28853.0,20.0,2018,5,7
21718,286,94102.0,37.784303,-122.40964699999999,82.0,103156.0,2.0,36.0,10.0,9.0,28852.0,36.0,2016,11,2
21722,5830,94118.0,37.782383,-122.458926,98.0,103150.0,4.0,31.0,6.0,1.0,54.0,31.0,2017,10,23
21723,69419,94122.0,37.763359,-122.4806,85.0,103154.0,1.0,35.0,8.0,3.0,56.0,35.0,2018,5,10
21724,146,94103.0,37.764713,-122.42470900000001,84.0,103120.0,3.0,19.0,4.0,5.0,28859.0,20.0,2016,10,17
21726,386,94110.0,37.736304,-122.42443200000001,84.0,103124.0,1.0,2.0,7.0,5.0,28859.0,2.0,2017,11,16
21727,5855,94131.0,37.745674,-122.45085,88.0,103119.0,4.0,7.0,7.0,5.0,63.0,10.0,2016,11,2
21728,591,94122.0,37.762378000000005,-122.46269199999999,89.0,103102.0,1.0,12.0,5.0,11.0,56.0,14.0,2018,2,6
21729,19357,94123.0,37.799095,-122.442457,69.0,103133.0,1.0,17.0,9.0,1.0,57.0,13.0,2018,1,16
21730,34585,94122.0,37.762174,-122.46580900000001,86.0,103161.0,1.0,12.0,8.0,11.0,56.0,14.0,2018,2,8
21732,18120,94105.0,37.787127000000005,-122.400201,83.0,103129.0,4.0,6.0,2.0,9.0,28855.0,8.0,2019,5,15
21733,37654,94118.0,37.785343,-122.461547,88.0,103157.0,2.0,11.0,6.0,2.0,54.0,11.0,2017,5,11
21735,1000,94110.0,37.755282,-122.420493,74.0,103161.0,1.0,19.0,4.0,7.0,28859.0,20.0,2017,10,2
21741,67554,94112.0,37.723532,-122.43563600000002,75.0,103145.0,3.0,5.0,7.0,6.0,28861.0,7.0,2017,9,25
21743,3186,94118.0,37.782893,-122.46494799999999,98.0,103144.0,2.0,11.0,6.0,2.0,54.0,11.0,2017,9,15
21744,670,94123.0,37.801334000000004,-122.42490500000001,86.0,103133.0,1.0,17.0,9.0,1.0,57.0,13.0,2019,5,7
21745,70258,94104.0,37.789064,-122.40286100000002,92.0,103120.0,3.0,6.0,1.0,10.0,28854.0,8.0,2019,4,12
21746,68832,94124.0,37.743065,-122.40528400000001,84.0,103123.0,1.0,2.0,3.0,7.0,58.0,2.0,2019,4,22
21747,2359,94110.0,37.751296,-122.41841399999998,62.0,103153.0,3.0,19.0,4.0,7.0,28859.0,20.0,2017,7,6
21748,1122,94123.0,37.800546999999995,-122.43849399999999,86.0,103156.0,2.0,17.0,9.0,1.0,57.0,13.0,2016,10,14
21749,58745,94107.0,37.776109000000005,-122.398082,83.0,103154.0,1.0,34.0,2.0,9.0,28856.0,34.0,2017,8,29
21750,1926,94121.0,37.782971,-122.496324,84.0,103161.0,1.0,15.0,6.0,2.0,55.0,17.0,2017,10,13
21751,34665,94131.0,37.734483000000004,-122.433729,83.0,103139.0,3.0,7.0,7.0,5.0,63.0,10.0,2018,6,4
21752,3643,94102.0,37.776294,-122.42626399999999,83.0,103124.0,1.0,10.0,9.0,11.0,28852.0,9.0,2019,3,8
21754,63082,94123.0,37.797933,-122.428627,81.0,103114.0,1.0,17.0,9.0,1.0,57.0,13.0,2018,7,31
21758,57698,94108.0,37.790054999999995,-122.40391499999998,87.0,103114.0,1.0,6.0,1.0,10.0,28854.0,8.0,2019,2,14
21760,4864,94110.0,37.759174,-122.41906599999999,84.0,103157.0,2.0,19.0,4.0,7.0,28859.0,20.0,2016,12,6
21761,64379,94109.0,37.789299,-122.42035200000001,90.0,103161.0,1.0,21.0,9.0,10.0,28858.0,21.0,2016,10,24
21763,59838,94115.0,37.786988,-122.434074,92.0,103134.0,1.0,27.0,9.0,11.0,29490.0,30.0,2019,2,11
21766,17346,94131.0,37.744076,-122.43868400000001,98.0,103144.0,2.0,7.0,7.0,5.0,63.0,10.0,2017,10,31
21767,3070,94107.0,37.775664,-122.399999,75.0,103124.0,1.0,34.0,2.0,9.0,28856.0,34.0,2017,7,25
21768,7558,94118.0,37.782724,-122.46826000000001,92.0,103142.0,1.0,11.0,6.0,2.0,54.0,11.0,2018,5,21
21769,32698,94121.0,37.773438,-122.506651,84.0,103124.0,1.0,26.0,6.0,2.0,55.0,29.0,2018,4,19
21770,2808,94127.0,37.725404,-122.462776,81.0,103157.0,2.0,40.0,8.0,4.0,59.0,41.0,2017,6,21
21772,69351,94103.0,37.784317,-122.40756299999998,86.0,103124.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,1,23
21773,62735,94110.0,37.7533,-122.41863000000001,83.0,103142.0,1.0,19.0,4.0,7.0,28859.0,20.0,2017,11,27
21774,68955,94103.0,37.784848,-122.406892,96.0,103161.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,1,18
21775,816,94124.0,37.722374,-122.39584099999999,88.0,103124.0,1.0,1.0,3.0,8.0,58.0,1.0,2018,11,27
21776,10990,94122.0,37.753623,-122.489929,84.0,103131.0,1.0,35.0,8.0,3.0,56.0,35.0,2016,11,14
21780,639,94109.0,37.790734,-122.42078300000001,94.0,103133.0,1.0,21.0,9.0,10.0,28858.0,21.0,2017,10,23
21781,65679,94134.0,37.72618,-122.40308200000001,81.0,103103.0,3.0,28.0,3.0,7.0,309.0,25.0,2017,12,4
21782,39295,94102.0,37.782583,-122.40991899999999,94.0,103144.0,2.0,34.0,2.0,9.0,28852.0,34.0,2018,2,7
21785,691,94123.0,37.796893,-122.436847,80.0,103149.0,1.0,17.0,9.0,1.0,57.0,13.0,2017,9,25
21788,670,94123.0,37.801334000000004,-122.42490500000001,85.0,103152.0,1.0,17.0,9.0,1.0,57.0,13.0,2018,4,13
21790,3065,94107.0,37.783738,-122.398918,85.0,103103.0,3.0,34.0,2.0,9.0,28856.0,34.0,2017,10,19
21791,1598,94109.0,37.788587,-122.413795,80.0,103139.0,3.0,21.0,1.0,10.0,28858.0,21.0,2017,4,17
21792,36024,94110.0,37.750966999999996,-122.414014,88.0,103154.0,1.0,19.0,4.0,7.0,28859.0,20.0,2019,5,1
21797,13623,94105.0,37.786803000000006,-122.399681,83.0,103139.0,3.0,6.0,2.0,9.0,28855.0,8.0,2019,1,10
21801,14303,94122.0,37.760453999999996,-122.50393899999999,84.0,103139.0,3.0,35.0,8.0,3.0,56.0,35.0,2018,6,21
21802,1649,94105.0,37.785614,-122.396693,88.0,103120.0,3.0,6.0,2.0,9.0,28855.0,8.0,2017,11,29
21803,4449,94110.0,37.741316999999995,-122.42268700000001,83.0,103154.0,1.0,2.0,7.0,7.0,28859.0,2.0,2017,12,18
21804,39693,94133.0,37.798065,-122.40685500000001,86.0,103119.0,4.0,23.0,1.0,10.0,308.0,23.0,2019,5,24
21805,62780,94107.0,37.752974,-122.38796,90.0,103120.0,3.0,29.0,3.0,8.0,28856.0,26.0,2017,1,6
21806,2315,94110.0,37.760487,-122.41928500000002,81.0,103119.0,4.0,19.0,4.0,7.0,28859.0,20.0,2018,9,17
21809,3736,94118.0,37.774758,-122.464955,98.0,103144.0,2.0,11.0,6.0,2.0,54.0,11.0,2018,7,20
21810,65561,94133.0,37.795873,-122.407495,86.0,103149.0,1.0,4.0,1.0,10.0,28857.0,6.0,2017,11,30
21812,8847,94111.0,37.795225,-122.39376999999999,94.0,103154.0,1.0,6.0,2.0,10.0,28860.0,8.0,2019,5,3
21813,40185,94111.0,37.796921000000005,-122.40003899999999,87.0,103103.0,3.0,6.0,1.0,10.0,28860.0,8.0,2019,3,7
21814,854,94133.0,37.798914,-122.40888500000001,79.0,103157.0,2.0,4.0,1.0,10.0,308.0,6.0,2018,4,18
21816,7655,94117.0,37.77598,-122.429577,94.0,103157.0,2.0,10.0,9.0,11.0,29492.0,9.0,2018,9,20
21817,7558,94118.0,37.782724,-122.46826000000001,92.0,103162.0,1.0,11.0,6.0,2.0,54.0,11.0,2018,5,21
21818,4656,94103.0,37.784247,-122.403989,96.0,103143.0,4.0,34.0,2.0,9.0,28853.0,34.0,2017,10,11
21819,32729,94102.0,37.782488,-122.41226699999999,83.0,103110.0,2.0,36.0,10.0,9.0,28852.0,36.0,2017,4,18
21820,1203,94118.0,37.780834000000006,-122.46659,77.0,103133.0,1.0,11.0,6.0,2.0,54.0,11.0,2017,8,3
21822,2135,94105.0,37.790863,-122.39315900000001,92.0,103124.0,1.0,6.0,2.0,9.0,28855.0,8.0,2019,5,15
21823,16329,94124.0,37.749798,-122.39596200000001,64.0,103109.0,1.0,1.0,3.0,8.0,28856.0,1.0,2019,1,10
21824,18825,94114.0,37.751474,-122.43070800000001,78.0,103144.0,2.0,22.0,4.0,5.0,28862.0,22.0,2018,11,26
21825,37090,94103.0,37.772008,-122.413803,71.0,103133.0,1.0,34.0,2.0,9.0,28853.0,34.0,2017,6,29
21828,63601,94103.0,37.784163,-122.40473899999999,72.0,103124.0,1.0,34.0,2.0,9.0,28853.0,34.0,2018,3,8
21829,68130,94117.0,37.772748,-122.43741399999999,79.0,103131.0,1.0,9.0,5.0,11.0,29492.0,3.0,2018,5,23
21831,39119,94118.0,37.781147999999995,-122.46376200000002,85.0,103154.0,1.0,11.0,6.0,2.0,54.0,11.0,2018,1,17
21833,66584,94112.0,37.717042,-122.440524,90.0,103149.0,1.0,5.0,7.0,6.0,28861.0,7.0,2018,4,30
21834,3522,94108.0,37.794958,-122.40636699999999,83.0,103161.0,1.0,4.0,1.0,10.0,28857.0,6.0,2018,12,6
21835,18102,94121.0,37.775728,-122.497701,71.0,103114.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,2,20
21836,1381,94131.0,37.73382,-122.43409299999999,92.0,103120.0,3.0,7.0,7.0,5.0,63.0,10.0,2017,8,22
21837,64176,94118.0,37.780522999999995,-122.47358,83.0,103120.0,3.0,26.0,6.0,2.0,54.0,29.0,2018,7,25
21838,39695,94121.0,37.780515,-122.477846,90.0,103124.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,1,30
21839,60400,94114.0,37.764233000000004,-122.43253999999999,87.0,103149.0,1.0,3.0,4.0,5.0,28862.0,5.0,2017,9,5
21842,2778,94107.0,37.784954,-122.395922,76.0,103154.0,1.0,6.0,2.0,9.0,28856.0,8.0,2018,8,7
21843,21807,94110.0,37.743943,-122.42198799999998,86.0,103139.0,3.0,2.0,7.0,7.0,28859.0,2.0,2017,10,30
21844,7745,94133.0,37.805923,-122.41528000000001,92.0,103131.0,1.0,23.0,1.0,10.0,308.0,23.0,2017,10,17
21847,33056,94104.0,37.789575,-122.401091,85.0,103124.0,1.0,6.0,2.0,10.0,28854.0,8.0,2017,9,12
21848,13671,94107.0,37.776491,-122.394175,89.0,103102.0,1.0,20.0,2.0,9.0,28856.0,4.0,2018,2,27
21849,1280,94114.0,37.766774,-122.433306,92.0,103116.0,3.0,3.0,5.0,5.0,28862.0,5.0,2018,3,27
21851,7105,94117.0,37.77036,-122.4437,94.0,103120.0,3.0,9.0,5.0,11.0,29492.0,3.0,2018,6,5
21852,66900,94110.0,37.752767999999996,-122.41039199999999,77.0,103154.0,1.0,19.0,4.0,7.0,28859.0,20.0,2017,10,5
21853,5797,94127.0,37.731868,-122.47095700000001,92.0,103154.0,1.0,40.0,8.0,4.0,59.0,41.0,2017,2,9
21854,27949,94121.0,37.775663,-122.49795900000001,84.0,103124.0,1.0,26.0,6.0,2.0,55.0,29.0,2018,2,12
21856,2519,94109.0,37.786864,-122.42321799999999,82.0,103124.0,1.0,41.0,9.0,1.0,28858.0,39.0,2019,1,8
21857,59988,94117.0,37.771987,-122.437147,84.0,103124.0,1.0,9.0,5.0,11.0,29492.0,3.0,2019,4,24
21858,3200,94105.0,37.789867,-122.39946200000001,90.0,103142.0,1.0,6.0,2.0,9.0,28855.0,8.0,2017,6,1
21859,1635,94117.0,37.767828,-122.453227,91.0,103114.0,1.0,9.0,5.0,11.0,29492.0,3.0,2017,12,15
21861,2785,94134.0,37.712517,-122.407152,79.0,103150.0,4.0,39.0,7.0,8.0,309.0,40.0,2017,3,30
21865,63493,94104.0,37.790053,-122.40258600000001,89.0,103149.0,1.0,6.0,1.0,10.0,28854.0,8.0,2017,1,12
21866,2684,94131.0,37.746759000000004,-122.42699499999999,87.0,103102.0,1.0,22.0,7.0,5.0,63.0,22.0,2018,3,27
21870,67448,94124.0,37.741828999999996,-122.388098,92.0,103149.0,1.0,1.0,3.0,8.0,58.0,1.0,2018,5,7
21871,63619,94102.0,37.776133,-122.41948400000001,92.0,103154.0,1.0,36.0,9.0,9.0,28852.0,36.0,2017,9,19
21872,58659,94104.0,37.789781,-122.403792,91.0,103103.0,3.0,6.0,1.0,10.0,28854.0,8.0,2017,1,11
21873,3189,94121.0,37.780439,-122.478982,87.0,103102.0,1.0,26.0,6.0,2.0,55.0,29.0,2017,2,28
21874,34102,94112.0,37.71444,-122.43683500000002,90.0,103116.0,3.0,5.0,7.0,6.0,28861.0,7.0,2016,10,7
